# Mode: whitelist
item_id,name,is_filtered
11328,Leaping trout,true
557,Earth rune,true
558,Mind rune,true
9240,Sapphire bolts (e),true
592,Ashes,true
1944,Egg,true
864,Bronze knife,true
554,Fire rune,true
9379,Mithril bolts (unf),true
28157,Forester's ration,true
434,Clay,true
24613,Blighted entangle sack,true
329,Salmon,true
4822,Mithril nails,true
6289,Snakeskin,true
9338,Emerald bolts,true
22595,Efh salt,true
10143,Marrentill tar,true
56,Oak longbow (u),true
45,Opal bolt tips,true
11332,Leaping sturgeon,true
1975,Chocolate dust,true
11875,Broad bolts,true
22597,Urt salt,true
9142,Mithril bolts,true
331,Raw salmon,true
10159,Long kebbit bolts,true
365,Bass,true
809,Mithril dart,true
869,Black knife,true
436,Copper ore,true
1517,Maple logs,true
9190,Emerald bolt tips,true
1937,Jug of water,true
9735,Desert goat horn,true
9191,Ruby bolt tips,true
10008,Box trap,true
3138,Potato cactus,true
808,Steel dart,true
47,Barb bolttips,true
319,Anchovies,true
10144,Tarromin tar,true
1993,Jug of wine,true
7936,Pure essence,true
5321,Watermelon seed,true
377,Raw lobster,true
5305,Barley seed,true
41,Steel arrowtips,true
1779,Flax,true
1987,Grapes,true
806,Bronze dart,true
5100,Limpwurt seed,true
11876,Unfinished broad bolts,true
1059,Leather gloves,true
561,Nature rune,true
22593,Te salt,true
6034,Supercompost,true
1963,Banana,true
2108,Orange,true
845,Oak longbow,true
4819,Bronze nails,true
315,Shrimps,true
13431,Sandworms,true
58,Willow longbow (u),true
3422,Olive oil(4),true
882,Bronze arrow,true
321,Raw anchovies,true
9242,Ruby bolts (e),true
5320,Sweetcorn seed,true
401,Seaweed,true
7088,Sweetcorn,true
11330,Leaping salmon,true
241,Dragon scale dust,true
29311,Hunter spear tips,true
556,Air rune,true
333,Trout,true
3046,Magic potion(1),true
1985,Cheese,true
9337,Sapphire bolts,true
5309,Yanillian seed,true
221,Eye of newt,true
562,Chaos rune,true
5354,Filled plant pot,true
9239,Topaz bolts (e),true
2313,Pie dish,true
60,Willow shortbow (u),true
1971,Kebab,true
9378,Steel bolts (unf),true
829,Adamant javelin,true
5319,Onion seed,true
1095,Leather chaps,true
9243,Diamond bolts (e),true
884,Iron arrow,true
5418,Empty sack,true
9144,Runite bolts,true
314,Feather,true
13391,Lizardman fang,true
5322,Tomato seed,true
2132,Raw beef,true
4696,Dust rune,true
53,Headless arrow,true
4699,Lava rune,true
1935,Jug,true
10087,Stripy feather,true
121,Attack potion(3),true
21555,Numulite,true
24615,Blighted teleport spell sack,true
9189,Sapphire bolt tips,true
890,Adamant arrow,true
1925,Bucket,true
42,Mithril arrowtips,true
227,Vial of water,true
1521,Oak logs,true
1955,Cooking apple,true
11940,Dark fishing bait,true
888,Mithril arrow,true
1511,Logs,true
407,Oyster,true
22818,Fish chunks,true
5306,Jute seed,true
5318,Potato seed,true
5376,Basket,true
64,Maple shortbow (u),true
2138,Raw chicken,true
9143,Adamant bolts,true
1775,Molten glass,true
1783,Bucket of sand,true
1973,Chocolate bar,true
819,Bronze dart tip,true
4542,Lantern lens,true
5324,Cabbage seed,true
1823,Waterskin(4),true
1931,Pot,true
229,Vial,true
886,Steel arrow,true
1942,Potato,true
5982,Watermelon,true
1923,Bowl,true
2003,Stew,true
10142,Guam tar,true
1436,Rune essence,true
5308,Asgarnian seed,true
1519,Willow logs,true
115,Strength potion(3),true
1947,Grain,true
345,Raw herring,true
5626,Adamant arrow(p++),true
13421,Saltpetre,true
5311,Wildblood seed,true
881,Barbed bolts,true
8882,Bone bolts,true
28837,Irit tar,true
9241,Emerald bolts (e),true
6032,Compost,true
39,Bronze arrowtips,true
1539,Steel nails,true
6306,Trading sticks,true
1917,Beer,true
526,Bones,true
9140,Iron bolts,true
1982,Tomato,true
865,Steel knife,true
1965,Cabbage,true
1734,Thread,true
1929,Bucket of water,true
9238,Pearl bolts (e),true
1759,Ball of wool,true
555,Water rune,true
1980,Empty cup,true
1464,Archery ticket,true
11334,Fish offcuts,true
5307,Hammerstone seed,true
559,Body rune,true
10091,Orange feather,true
863,Iron knife,true
4697,Smoke rune,true
19584,Javelin shaft,true
313,Fishing bait,true
807,Iron dart,true
1939,Swamp tar,true
21622,Volcanic ash,true
954,Rope,true
2130,Pot of cream,true
9375,Bronze bolts (unf),true
892,Rune arrow,true
9141,Steel bolts,true
54,Oak shortbow (u),true
48,Longbow (u),true
880,Pearl bolts,true
371,Raw swordfish,true
1941,Swamp paste,true
11874,Broad arrowheads,true
810,Adamant dart,true
5291,Guam seed,true
1627,Uncut jade,true
243,Blue dragon scale,true
52,Arrow shaft,true
1919,Beer glass,true
822,Mithril dart tip,true
820,Iron dart tip,true
4820,Iron nails,true
40,Iron arrowtips,true
5323,Strawberry seed,true
363,Raw bass,true
442,Silver ore,true
1927,Bucket of milk,true
438,Tin ore,true
877,Bronze bolts,true
1951,Redberries,true
27616,Ancient essence,true
821,Steel dart tip,true
11994,Lava scale shard,true
6697,Pat of butter,true
10145,Harralander tar,true
567,Unpowered orb,true
359,Raw tuna,true
5970,Curry leaf,true
