# Mode: whitelist
item_id,name,is_filtered
1993,Jug of wine,true
5982,Watermelon,true
1971,Kebab,true
9980,Roast bird meat,true
2036,Premade p' punch,true
4016,Banana stew,true
9988,Roast beast meat,true
2034,Premade fr' blast,true
347,Herring,true
2221,Premade t'd batta,true
2225,Premade fr't batta,true
2227,Premade veg batta,true
2235,Premade veg ball,true
2219,Premade w'm batta,true
351,Pike,true
355,Mackerel,true
2223,Premade c+t batta,true
2233,Premade worm hole,true
2327,Meat pie,true
1875,Onion & tomato,true
403,Edible seaweed,true
2038,Premade sgg,true
2040,Premade wiz blz'd,true
3381,Cooked slimy eel,true
339,Cod,true
2237,Premade w'm crun',true
2231,Premade ttl,true
2003,Stew,true
2323,Apple pie,true
333,Trout,true
2032,Premade dr' dragon,true
7084,Fried onions,true
2239,Premade ch' crunch,true
11457,Defence mix(2),true
2241,Premade s'y crunch,true
365,Bass,true
7178,Garden pie,true
29952,Ixcoztic white,true
329,Salmon,true
315,Shrimps,true
29963,Chichilihui rosé,true
29963,Chichilihui rosé,true
7062,Chilli con carne,true
2229,Premade choc bomb,true
2130,Pot of cream,true
2048,Pineapple punch,true
5003,Cave eel,true
325,Sardine,true
11477,Fishing mix(2),true
7054,Chilli potato,true
7228,Cooked chompy,true
7198,Admiral pie,true
10136,Rainbow fish,true
2030,Premade choc s'dy,true
2074,Choc saturday,true
11443,Strength mix(2),true
361,Tuna,true
2325,Redberry pie,true
2092,Drunk dragon,true
1982,Tomato,true
1897,Chocolate cake,true
11513,Magic mix(2),true
373,Swordfish,true
11429,Attack mix(2),true
11505,Antifire mix(2),true
11469,Superattack mix(2),true
9052,Locust meat,true
7082,Fried mushrooms,true
1891,Cake,true
2080,Short green guy,true
379,Lobster,true
7056,Egg potato,true
5984,Watermelon slice,true
7078,Scrambled egg,true
7223,Roast rabbit,true
2054,Wizard blizzard,true
29152,Cooked kyatt,true
6705,Potato with cheese,true
11449,Restore mix(2),true
1973,Chocolate bar,true
2114,Pineapple,true
5504,Strawberry,true
2021,Brandy,true
5988,Cooked sweetcorn,true
11461,Agility mix(2),true
7064,Egg and tomato,true
6299,Spider on shaft,true
7070,Minced meat,true
29137,Cooked pyre fox,true
2293,Meat pizza,true
7946,Monkfish,true
11960,Extended antifire mix(2),true
22795,Dragonfruit pie,true
7086,Chopped tuna,true
2011,Curry,true
6297,Spider on stick,true
11433,Antipoison mix(2),true
2015,Vodka,true
1869,Chopped tomato,true
7066,Mushroom & onion,true
2309,Bread,true
7218,Summer pie,true
3144,Cooked karambwan,true
3162,Sliced banana,true
4012,Monkey nuts,true
6703,Potato with butter,true
7208,Wild pie,true
6794,Choc-ice,true
2955,Moonlight mead,true
1885,Ugthanki kebab,true
24785,Cooked mystery meat,true
2019,Gin,true
1978,Cup of tea,true
1985,Cheese,true
5759,Slayer's respite,true
29140,Cooked sunlight antelope,true
2017,Whisky,true
2297,Anchovy pizza,true
319,Anchovies,true
2301,Pineapple pizza,true
1963,Banana,true
2142,Cooked meat,true
11445,Combat mix(2),true
2126,Dwellberries,true
2289,Plain pizza,true
2102,Lemon,true
2118,Pineapple ring,true
7058,Mushroom potato,true
11326,Caviar,true
2108,Orange,true
2110,Orange chunks,true
385,Shark,true
2140,Cooked chicken,true
11521,Zamorak mix(2),true
11453,Energy mix(2),true
1942,Potato,true
397,Sea turtle,true
3801,Keg of beer,true
7919,Bottle of wine,true
29146,Cooked larupia,true
29149,Cooked graahk,true
11497,Super def. mix(2),true
2185,Chocolate bomb,true
2104,Lemon chunks,true
6701,Baked potato,true
1965,Cabbage,true
11324,Roe,true
29131,Cooked barb-tailed kebbit,true
3228,Cooked rabbit,true
2106,Lemon slices,true
2187,Tangled toad's legs,true
11517,Hunting mix(2),true
7068,Tuna and corn,true
3803,Beer tankard,true
11936,Dark crab,true
