# Mode: whitelist
item_id,name,is_filtered
1739,Cowhide,true
7801,Snake hide,true
1753,Green dragonhide,true
1751,Blue dragonhide,true
1749,Red dragonhide,true
1747,Black dragonhide,true
6169,Circular hide,true
6155,Dagannoth hide,true
6155,Dagannoth hide,true
6173,Stretched hide,true
10818,Yak-hide,true
22983,Hydra leather,true
27897,Scaly blue dragonhide,true
30085,Hueycoatl hide,true
10820,Cured yak-hide,true
1741,Leather,true
1743,Hard leather,true
1745,Green dragon leather,true
2505,Blue dragon leather,true
2507,Red dragon leather,true
2509,Black dragon leather,true
6289,Snakeskin,true
